Nome;Modelo;Valor c desc;Valor s desc;Porcentagem desc;Avaliacao; 
Regata Nike Denver Nuggets Icon Edition 2022/23 Masculina;Basquete;R$ 474,99 no Pix;R$ 699,99;32% off;4.7;
Jaqueta Nike Barcelona Academy Pro Masculina;Futebol;R$ 664,99 no Pix;R$ 699,99;5% off;;
Camisa Nike Barcelona IV 2023/24 Jogador Masculina;Futebol;R$ 379,99 no Pix;R$ 699,99;46% off;;
Blusão Nike SB Fleece Unissex;Skateboarding;R$ 427,49 no Pix;R$ 649,99;34% off;5.0;
Shorts Nike Liverpool III 2023/24 Torcedor Pro Masculino;Futebol;R$ 227,99 no Pix;R$ 349,99;35% off;;
Jaqueta Nike Life Masculina;Casual;R$ 550,99 no Pix;R$ 799,99;31% off;;
Camisa Nike Estados Unidos II 2024/25 Torcedor Pro Masculina;Futebol;R$ 379,99 no Pix;R$ 399,99;5% off;;
Camisa Nike Paris Saint-Germain III 2024/25 Torcedor Pro Masculina;Futebol;R$ 379,99 no Pix;R$ 399,99;5% off;;
Camiseta Nike Barcelona Strike Masculina;Futebol;R$ 284,99 no Pix;R$ 299,99;5% off;5.0;
Camiseta Nike Paris Saint-Germain Strike Masculina;Futebol;R$ 284,99 no Pix;R$ 299,99;5% off;2.0;
Camiseta Nike Run Division Rise 365 Masculina;Corrida;R$ 284,99 no Pix;R$ 379,99;25% off;5.0;
Blusão Nike SB Fleece HD Unissex;Skate;R$ 322,99 no Pix;R$ 399,99;19% off;;
Calça Nike Woven Tech Masculina;Casual;R$ 474,99 no Pix;R$ 699,99;32% off;5.0;
Camisa Polo Nike Rafa Nadal Masculina;Para Jogar Tênis;R$ 218,49 no Pix;R$ 499,99;56% off;5.0;
Camiseta Nike Sportswear Max90 Masculina;Casual;R$ 313,49 no Pix;R$ 329,99;5% off;;
Camiseta Nike Sportswear Max90 Masculina;Casual;R$ 227,99 no Pix;R$ 329,99;31% off;;
Camiseta Nike Sportswear Masculina;Casual;R$ 170,99 no Pix;R$ 229,99;26% off;;
Camiseta Nike Sportswear Max90 Masculina;Casual;R$ 265,99 no Pix;R$ 279,99;5% off;;
SB Dunk Low Pro;Casual;R$ 999,99;Disponível em SNKRS;;;
Jaqueta Nike Dri-FIT UV ADV Masculina;Treino & Academia;R$ 683,99 no Pix;R$ 899,99;24% off;;
Camisa Nike PSG III 2023/24 Torcedor Pro Masculina;Futebol;R$ 379,99 no Pix;R$ 399,99;5% off;;
Camiseta Nike Track Club Masculina;Corrida;R$ 208,99 no Pix;R$ 249,99;16% off;;
Camiseta Nike NIKEU Masculina;Basquete;R$ 123,49 no Pix;R$ 279,99;56% off;;
Camiseta Nike Rise 365 Masculina;Corrida;R$ 189,99 no Pix;R$ 299,99;37% off;5.0;
